noun ludius voc_sg {{la-decl-2nd|lūdi}}
noun macellarius voc_sg {{la-decl-2nd|macellāri}}
noun machinarius voc_sg {{la-decl-2nd|māchināri}}
noun margaritarius voc_sg {{la-decl-2nd|margarītāri}}
noun masucius voc_sg {{la-decl-2nd|māsuci}}
noun matricularius voc_sg {{la-decl-2nd|mātrīculāri}}
noun membranarius voc_sg {{la-decl-2nd|membrānāri}}
noun mensarius voc_sg {{la-decl-2nd|mēnsāri}}
noun mercurius voc_sg {{la-decl-2nd|mercuri}}
noun metallarius voc_sg {{la-decl-2nd|metallāri}}
noun modius voc_sg {{la-decl-2nd|modi}}
noun molinarius voc_sg {{la-decl-2nd|molīnāri}}
noun mufrius voc_sg {{la-decl-2nd|mufri}}
noun necessarius voc_sg {{la-decl-2nd|necessāri}}
noun numerarius voc_sg {{la-decl-2nd|numerāri}}
noun nummularius voc_sg {{la-decl-2nd|nummulāri}}
noun ocularius voc_sg {{la-decl-2nd|oculāri}}
noun officiarius voc_sg {{la-decl-2nd|officiāri}}
noun operarius voc_sg {{la-decl-2nd|operāri}}
noun ostiarius voc_sg {{la-decl-2nd|ostiāri}}
noun paenularius voc_sg {{la-decl-2nd|paenulāri}}
noun palmarius voc_sg {{la-decl-2nd|palmāri}}
noun palumbarius voc_sg {{la-decl-2nd|palumbāri}}
noun pammacharius voc_sg {{la-decl-2nd|pammachāri}}
noun panarius voc_sg {{la-decl-2nd|pānāri}}
noun panatarius voc_sg {{la-decl-2nd|pānatāri}}
noun panaterius voc_sg {{la-decl-2nd|pānatēri}}
noun panchrestarius voc_sg {{la-decl-2nd|panchrestāri}}
noun panetarius voc_sg {{la-decl-2nd|pānetāri}}
noun partiarius voc_sg {{la-decl-2nd|partiāri}}
noun patricius voc_sg {{la-decl-2nd|pātrici}}
noun pavimentarius voc_sg {{la-decl-2nd|pavīmentāri}}
noun perarius voc_sg {{la-decl-2nd|perāri}}
noun pernarius voc_sg {{la-decl-2nd|pernāri}}
noun pirarius voc_sg {{la-decl-2nd|pirāri}}
noun piscarius voc_sg {{la-decl-2nd|piscāri}}
noun plagiarius voc_sg {{la-decl-2nd|plagiāri}}
noun plebeius voc_sg {{la-decl-2nd|plēbēi}}
noun plumarius voc_sg {{la-decl-2nd|plūmāri}}
noun plumbarius voc_sg {{la-decl-2nd|plumbāri}}
noun porcarius voc_sg {{la-decl-2nd|porcāri}}
noun portarius voc_sg {{la-decl-2nd|portāri}}
noun praerogativatius voc_sg {{la-decl-2nd|praerogātīvāti}}
noun pullarius voc_sg {{la-decl-2nd|pullāri}}
noun putorius voc_sg {{la-decl-2nd|putori}}
noun quadrigarius voc_sg {{la-decl-2nd|quadrīgāri}}
noun quaestionarius voc_sg {{la-decl-2nd|quaestiōnāri}}
noun radius voc_sg {{la-decl-2nd|radi}}
noun raedarius voc_sg {{la-decl-2nd|raedāri}}
noun retiarius voc_sg {{la-decl-2nd|rētiāri}}
noun rufius voc_sg {{la-decl-2nd|rufi}}
noun sacrarius voc_sg {{la-decl-2nd|sacrāri}}
noun sagittarius voc_sg {{la-decl-2nd|sagittāri}}
noun salariarius voc_sg {{la-decl-2nd|salāriāri}}
noun saltuarius voc_sg {{la-decl-2nd|saltuāri}}
noun sardius voc_sg {{la-decl-2nd|sardi}}
noun scalarius voc_sg {{la-decl-2nd|scālāri}}
noun scandularius voc_sg {{la-decl-2nd|scandulāri}}
noun scoparius voc_sg {{la-decl-2nd|scōpāri}}
noun scorpius voc_sg {{la-decl-2nd|scorpi}}
noun scutarius voc_sg {{la-decl-2nd|scūtāri}}
noun seminiverbius voc_sg {{la-decl-2nd|sēminiverbi}}
noun sestertius voc_sg {{la-decl-2nd|sēsterti}}
noun sicarius voc_sg {{la-decl-2nd|sīcāri}}
noun socius voc_sg {{la-decl-2nd|soci}}
noun soldurius voc_sg {{la-decl-2nd|soldūri}}
noun sororius voc_sg {{la-decl-2nd|sorōri}}
noun stivarius voc_sg {{la-decl-2nd|stīvāri}}
noun subsidiarius voc_sg {{la-decl-2nd|subsidiāri}}
noun supernumerarius voc_sg {{la-decl-2nd|supernumerari}}
noun tabellarius voc_sg {{la-decl-2nd|tabellāri}}
noun tegularius voc_sg {{la-decl-2nd|tēgulāri}}
noun tessellarius voc_sg {{la-decl-2nd|tessellāri}}
noun thunnarius voc_sg {{la-decl-2nd|thunnāri}}
noun thynnarius voc_sg {{la-decl-2nd|thynnāri}}
noun togatarius voc_sg {{la-decl-2nd|togātāri}}
noun tonnarius voc_sg {{la-decl-2nd|tonnāri}}
noun tonnarius voc_sg {{la-decl-2nd|tonnāri}}
noun topazius voc_sg {{la-decl-2nd|topazi}}
noun topiarius voc_sg {{la-decl-2nd|topiāri}}
noun tribunicius voc_sg {{la-decl-2nd|tribūnīci}}
noun tullius voc_sg {{la-decl-2nd|tulli}}
noun tunnarius voc_sg {{la-decl-2nd|tunnāri}}
noun tunnarius voc_sg {{la-decl-2nd|tunnāri}}
noun unguentarius voc_sg {{la-decl-2nd|unguentāri}}
noun vascularius voc_sg {{la-decl-2nd|vāsculāri}}
noun veredarius voc_sg {{la-decl-2nd|verēdāri}}
noun vicarius voc_sg {{la-decl-2nd|vicāri}}
noun victimarius voc_sg {{la-decl-2nd|victimāri}}
noun Visucius voc_sg {{la-decl-2nd|Visuci|num=sg}}
noun voluntarius voc_sg {{la-decl-2nd|voluntāri}}
noun zonarius voc_sg {{la-decl-2nd|zōnāri}}
noun Abudius voc_sg {{la-decl-2nd|num=sg|Abudi}}
noun Aburius voc_sg {{la-decl-2nd|num=sg|Aburi}}
noun Accius voc_sg {{la-decl-2nd|num=sg|Acci}}
noun Accoleius voc_sg {{la-decl-2nd|num=sg|Accolēi}}
noun Acerronius voc_sg {{la-decl-2nd|num=sg|Acerrōni}}
noun Acontius voc_sg {{la-decl-2nd|num=sg|Aconti}}
noun Acrisius voc_sg {{la-decl-2nd|num=sg|Acrisi}}
noun Actorius voc_sg {{la-decl-2nd|num=sg|Actōri}}
noun Acutius voc_sg {{la-decl-2nd|num=sg|Acūti}}
noun Aebutius voc_sg {{la-decl-2nd|num=sg|Aebūti}}
noun Aegidius voc_sg {{la-decl-2nd|num=sg|Aegīdi}}
noun Aelius voc_sg {{la-decl-2nd|num=sg|Aeli}}
noun Aesius voc_sg {{la-decl-2nd|num=sg|Aesi}}
noun Aestii voc_sg {{la-decl-2nd|num=pl|Aesti}}
noun Aethlius voc_sg {{la-decl-2nd|Aethli|num=sg}}
